# === Smart Elections Parser - URL List ===
# Add one URL per line below. Lines starting with "#" are ignored.
# These can represent state election result portals, PDF links, or JSON endpoints.

# Schema (tab-delimited): year	contest	state	county_or_scope	format	notes	url
# Curated block above; legacy/unsorted backlog remains below for future cleanup.

# === Curated | 2024 General (statewide) ===
2016	President	Nevada	statewide	HTML	Silver State ENR	https://www.nvsos.gov/silverstate2016gen/
2016	President	Wisconsin	statewide	XLSX	County recount report	https://elections.wi.gov/sites/default/files/legacy/County%2520by%2520County%2520Report%2520President%2520of%2520the%2520United%2520States%2520Recount.xlsx
2016	President	Tennessee	statewide	HTML	Results portal	https://sos.tn.gov/elections/results#2020
2016	Senate	Iowa	statewide	PDF	Canvass summary	https://sos.iowa.gov/elections/pdf/2016/general/canvsummary.pdf
2016	President	Alabama	statewide	PDF	Certified results	https://www.sos.alabama.gov/sites/default/files/voter-pdfs/2016/2016-Official-General-Election-Results-Certified-2016-11-29.pdf
2016	President	California	statewide	PDF	Complete SOV	https://elections.cdn.sos.ca.gov/sov/2016-general/sov/2016-complete-sov.pdf
2016	Senate	Ohio	statewide	HTML	Official results	https://www.ohiosos.gov/elections/election-results-and-data/2016-official-elections-results/
2016	President	Texas	statewide	HTML	State history	https://elections.sos.state.tx.us/elchist319_state.htm
2016	President	Washington	statewide	HTML	Federal results	https://results.vote.wa.gov/results/20161108/federal.html
2016	President	Arizona	statewide	PDF	Official canvass	https://apps.azsos.gov/election/2016/General/Official%20Signed%20State%20Canvass.pdf
2016	President	Georgia	statewide	HTML	Ballot items	https://results.sos.ga.gov/results/public/Georgia/elections/2016NovGen/ballot-items/01000000-f6f4-3a08-f4f5-08dd146b92e5
2016	Senate	Georgia	statewide	HTML	Ballot items	https://results.sos.ga.gov/results/public/Georgia/elections/2016NovGen/ballot-items/01000000-f6f4-3a08-c717-08dd146b92e8
2016	Senate	Kentucky	statewide	HTML	Primary/general results	https://elect.ky.gov/results/2010-2019/Pages/2016primaryandgeneralelectionresults.aspx
2016	Senate	Maryland	statewide	HTML	Election data	https://elections.maryland.gov/elections/2016/election_data/index.html
2016	President	Virginia	statewide	HTML	Historical results	https://historical.elections.virginia.gov/elections/view/80871/
2016	Governor	Montana	statewide	PDF	Statewide canvass	https://sosmt.gov/Portals/142/Elections/archives/2010s/2016/2016GeneralStatewideCanvass.pdf?dt=1523477333219
2016	Senate	Washington	statewide	HTML	US Senator	https://results.vote.wa.gov/results/20161108/us-senator.html
2016	President	Maine	statewide	HTML	Results data	https://www.maine.gov/sos/elections-voting/election-results-data/election-results-2016-2017
2016	President	New York	statewide	HTML	Contest page	https://results.elections.ny.gov/contest/1650
2016	Senate	New York	statewide	HTML	Contest page	https://results.elections.ny.gov/contest/1649
2016	President	Florida	statewide	HTML	Results index	https://results.elections.myflorida.com/Index.asp?ElectionDate=11/8/2016&DATAMODE=
2016	President	New Hampshire	statewide	HTML	General election results	https://www.sos.nh.gov/elections/2016-election-results/2016-general-election-results
2016	President	Mississippi	statewide	HTML	Official results	https://www.sos.ms.gov/elections-voting/election-results/2016-election-results/2016-general-election
2016	President	New Jersey	statewide	HTML	Results portal	https://nj.gov/state/elections/election-information-results.shtml
2016	President	South Carolina	statewide	HTML	Clarity reports	https://www.enr-scvotes.org/SC/64658/316617/en/reports.html
2016	President	South Dakota	statewide	PDF	Official canvass	https://sdsos.gov/elections-voting/assets/2016%20Assets/2016GeneralElectionOfficialResultsStateCanvass.pdf
2016	President	Utah	statewide	HTML	Election records	https://vote.utah.gov/2016-election-records/
2016	President	Vermont	statewide	HTML	Election archive	https://electionarchive.vermont.gov/elections/view/82048/
2016	Senate	Vermont	statewide	HTML	Election archive	https://electionarchive.vermont.gov/elections/view/82049/
2016	Governor	West Virginia	statewide	CSV	Download	https://apps.sos.wv.gov/elections/results/download.aspx?year=2016&eid=23
2016	Senate	Connecticut	statewide	HTML	Contest page	https://electionhistory.ct.gov/eng/contests/view/4637
2012	President	South Carolina	statewide	HTML	ENR archive	https://www.enr-scvotes.org/SC/42513/116143/en/reports.html
2012	President	South Dakota	statewide	HTML	History search portal	https://sdsos.gov/elections-voting/election-resources/election-history/election-history-search.aspx
2012	Governor	North Carolina	statewide	HTML	Contest page	https://er.ncsbe.gov/?election_dt=11/06/2012&county_id=0&office=COS&contest=1167
2012	President	North Carolina	statewide	HTML	Contest page	https://er.ncsbe.gov/?election_dt=11/06/2012&county_id=0&office=FED&contest=1360
2012	Senate	Nevada	statewide	HTML	US Senate ENR	https://www.nvsos.gov/silverstate2012gen/USSenate/
2012	President	Tennessee	statewide	HTML	Results portal	https://sos.tn.gov/elections/results#2012
2012	Senate	Wisconsin	statewide	PDF	Preservica archive	https://whs.access.preservica.com/uncategorized/SO_8be7cfb1-3567-4277-984c-436f91ed3518/
2012	President	Pennsylvania	statewide	HTML	Summary results	https://www.electionreturns.pa.gov/General/SummaryResults?ElectionID=27&ElectionType=G&IsActive=0
2012	President	Nevada	statewide	HTML	ENR portal	https://www.nvsos.gov/silverstate2012gen/
2012	President	Wisconsin	statewide	PDF	Download file	https://whs.access.preservica.com/download/file/IO_044257f0-8e3b-4f01-852f-f0e53f46b5a7
2012	House of Representatives	Georgia	statewide	HTML	ENR portal	https://results.sos.ga.gov/results/public/Georgia/elections/2012NovGen
2012	President	Oregon	statewide	HTML	ORSOS record	https://records.sos.state.or.us/ORSOSWebDrawer/Recordhtml/6873690
2012	Senate	Connecticut	statewide	HTML	Contest page	https://electionhistory.ct.gov/eng/contests/view/5481
2012	President	California	statewide	PDF	Statement of vote	https://www.sos.ca.gov/elections/prior-elections/statewide-election-results/general-election-november-6-2012/statement-vote
2012	President	Colorado	statewide	HTML	Historical data search	https://historicalelectiondata.coloradosos.gov/search?gf=e&e[0]=22
2012	President	Indiana	statewide	HTML	Historical ENR	https://indianavoters.in.gov/ENRHistorical/ElectionResults
